Name,Affiliation
41,Thomas S. Huang
42,Andreas Krause
43,Nikolaos G. Tsagarakis
44,Manuela M. Veloso
45,Ping Li
46,Sarit Kraus
47,Chunhua Shen
48,Tie-Yan Liu
49,Gerd Hirzinger
50,Yi Yang
51,Howie Choset
52,Rong Jin
53,Yoshihiko Nakamura
54,Jitendra Malik
55,Sven Koenig
56,Jun Zhu
57,Gaurav S. Sukhatme
58,Hui Xiong
59,Qi Tian
60,Xiaogang Wang
61,In-So Kweon
62,Pascal Fua
63,Bernt Schiele
64,Lawrence Carin
65,Peter J. Stuckey
66,Tong Zhang
67,Jieping Ye
68,Martial Hebert
69,Atsuo Takanishi
70,Mubarak Shah
71,Toby Walsh
72,Xiaoou Tang
73,Tuomas Sandholm
74,Raquel Urtasun
75,Cordelia Schmid
76,Xueqi Cheng
77,Philip Torr
78,Tat-Seng Chua
79,Yun-Hui Liu
80,Danica Kragic
